column,dtype,used_by_any_model,models_using_column,decision,exclusion_reason,target_or_post_anomaly_pattern_flag,non_null_pct,unique_values
source_index,int64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,32238
Activity.Remote IPs,str,False,,NOT_USED,target/throughput/post-anomaly name guard,True,0.5707550096159811,29
Activity.Source Ports,str,False,,NOT_USED,target/throughput/post-anomaly name guard,True,0.5707550096159811,184
Activity.TTFB,float64,False,,NOT_USED,not selected for any model objective,False,0.5707550096159811,184
Activity.DNS Resolution Time,float64,False,,NOT_USED,not selected for any model objective,False,0.5769588684161548,178
Activity.Remote Address,str,False,,NOT_USED,target/throughput/post-anomaly name guard,True,0.5769588684161548,32
Activity.Sub Activity,str,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,1
Activity.Error,str,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,2
Extra_KPIs.Attach Delay,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
Extra_KPIs.RRC Connection Setup Time,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
Extra_KPIs.ERRC Connection Setup Time,float64,False,,NOT_USED,not selected for any model objective,False,0.049630870401389665,16
Activity.Band,float64,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,4
Activity.LCI,float64,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,94
Activity.ARFCN,float64,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,8
Activity.Private IP,str,False,,NOT_USED,target/throughput/post-anomaly name guard,True,0.5924685154165891,4
Activity.Activity,str,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,1
Activity.Connection Reset,float64,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,1
Activity.Duplicated ACK,float64,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,1
Activity.Duration,float64,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,77
Activity.End TimeStamp,str,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,191
Activity.Fast Retransmission,float64,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,1
Activity.Out of Order,float64,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,1
Activity.Packet Loss Rate,float64,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,1
Activity.Power,float64,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,179
Activity.Public IP,str,False,,NOT_USED,target/throughput/post-anomaly name guard,True,0.5924685154165891,131
Activity.Quality,float64,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,143
Activity.SINR,float64,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,174
Activity.Size,float64,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,189
Activity.Spurious Retransmission,float64,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,1
Activity.Start TimeStamp,str,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,187
Activity.Status,str,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,1
Activity.TCP Window Update,float64,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,1
Activity.Tech,str,False,,NOT_USED,not selected for any model objective,False,0.5924685154165891,3
Activity.Throughput,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,0.5924685154165891,185
Activity.Throughput WIFI,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,0.5924685154165891,10
Extra_KPIs.LTE Handover Interruption Time,float64,False,,NOT_USED,not selected for any model objective,False,5.726161672560333,1838
Extra_KPIs.UMTS Handover Interruption Time,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
LTE - Serving - R15_Support,float64,False,,NOT_USED,not selected for any model objective,False,18.40995098951548,1
LTE - SecondaryCell 1 - SCell1_EARFCN_UL,float64,False,,NOT_USED,not selected for any model objective,False,27.939078106582294,5
Throughput.HTTP_DL,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,39.08431044109436,12549
Throughput.Physical_DL,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,39.08431044109436,12580
LTE - SecondaryCell 1 - SCell1_CQI_CW1,float64,False,,NOT_USED,not selected for any model objective,False,46.45759662510081,15
LTE - SecondaryCell 1 - SCell1_MCS_CW1,float64,False,,NOT_USED,not selected for any model objective,False,56.19765494137353,32
LTE - SecondaryCell 1 - SCell1_Modulation_CW1,str,False,,NOT_USED,not selected for any model objective,False,56.19765494137353,4
Events.subject,str,False,,NOT_USED,not selected for any model objective,False,28.388857869594887,329
LTE - SecondaryCell 1 - SCell1_BandWidth_UL,float64,False,,NOT_USED,not selected for any model objective,False,63.69812023078355,1
LTE - SecondaryCell 1 - SCell1_RxAntNum,float64,False,,NOT_USED,not selected for any model objective,False,66.71009367826788,3
LTE - SecondaryCell 1 - SCell1_SpatialRank,float64,False,,NOT_USED,not selected for any model objective,False,66.71009367826788,4
LTE - SecondaryCell 1 - SCell1_TxAntNum,float64,False,,NOT_USED,not selected for any model objective,False,66.71009367826788,2
Extra_KPIs.CSFB RAT,object,False,,NOT_USED,not selected for any model objective,False,0.0,0
Events.description,str,False,,NOT_USED,not selected for any model objective,False,35.99168682920777,9069
LTE - SecondaryCell 1 - SCell1_MCS_CW0,float64,False,,NOT_USED,not selected for any model objective,False,68.78838637632607,32
LTE - SecondaryCell 1 - SCell1_Modulation_CW0,str,False,,NOT_USED,not selected for any model objective,False,68.78838637632607,4
LTE - SecondaryCell 1 - SCell1_1024QAMUsage,float64,False,,NOT_USED,not selected for any model objective,False,68.79148830572616,1
LTE - SecondaryCell 1 - SCell1_16QAMUsage,float64,False,,NOT_USED,not selected for any model objective,False,68.79148830572616,15516
LTE - SecondaryCell 1 - SCell1_256QAMUsage,float64,False,,NOT_USED,not selected for any model objective,False,68.79148830572616,806
LTE - SecondaryCell 1 - SCell1_64QAMUsage,float64,False,,NOT_USED,not selected for any model objective,False,68.79148830572616,14167
LTE - SecondaryCell 1 - SCell1_BLER,float64,False,,NOT_USED,not selected for any model objective,False,68.79148830572616,15644
LTE - SecondaryCell 1 - SCell1_LayerNum,float64,False,,NOT_USED,not selected for any model objective,False,68.79148830572616,4
LTE - SecondaryCell 1 - SCell1_QPSKUsage,float64,False,,NOT_USED,not selected for any model objective,False,68.79148830572616,9438
LTE - SecondaryCell 1 - SCell1_ResourceBlockNum,float64,False,,NOT_USED,not selected for any model objective,False,68.79148830572616,100
LTE - SecondaryCell 1 - SCell1_Throughput,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,68.79148830572616,22114
LTE - SecondaryCell 1 - SCell1_ThroughputStream0,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,68.79148830572616,22079
LTE - SecondaryCell 1 - SCell1_ThroughputStream1,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,68.79148830572616,18005
LTE - SecondaryCell 1 - SCell1_ThroughputStreamAll,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,68.79148830572616,22114
Extra_KPIs.Call RAT,object,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(1) - EcNo,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(1) - EcNo Before RAKE,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
WCDMA - WCDMACellsTable(1) - PSC,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
